id,company,year,revenue,revenue_growth,operating_income,operating_margin,net_income,net_margin,total_assets,roa,total_liabilities,debt_ratio,period
1,NVIDIA,2018,11716.00,NULL,3804.00,32.47,4141.00,35.34,13292.00,31.15,3950.00,29.72,"Period 1"
2,NVIDIA,2019,10918.00,-6.81,2846.00,26.07,2796.00,25.61,17315.00,16.15,5111.00,29.52,"Period 1"
3,NVIDIA,2020,16675.00,52.73,4532.00,27.18,4332.00,25.98,28791.00,15.05,11898.00,41.33,"Period 1"
4,NVIDIA,2021,26914.00,61.40,10041.00,37.31,9752.00,36.23,44187.00,22.07,17575.00,39.77,"Period 1"
5,NVIDIA,2022,26974.00,0.22,4224.00,15.66,4368.00,16.19,41182.00,10.61,19081.00,46.33,"Period 2"
6,NVIDIA,2023,60922.00,125.85,32972.00,54.12,29760.00,48.85,65728.00,45.28,22750.00,34.61,"Period 2"
7,NVIDIA,2024,130497.00,114.20,81453.00,62.42,72880.00,55.85,111601.00,65.30,32274.00,28.92,"Period 2"
8,NVIDIA,2025,215938.00,65.47,130387.00,60.38,120067.00,55.60,206803.00,58.06,49510.00,23.94,"Period 2"
9,META,2018,55838.00,NULL,24913.00,44.62,22112.00,39.60,97334.00,22.72,13207.00,13.57,"Period 1"
10,META,2019,70697.00,26.61,23986.00,33.93,18485.00,26.15,133376.00,13.86,32322.00,24.23,"Period 1"
11,META,2020,85965.00,21.60,32671.00,38.01,29146.00,33.90,159316.00,18.29,31026.00,19.47,"Period 1"
12,META,2021,117929.00,37.18,28944.00,24.54,39370.00,33.38,165987.00,23.72,41108.00,24.77,"Period 1"
13,META,2022,116609.00,-1.12,28944.00,24.82,23200.00,19.90,185727.00,12.49,60014.00,32.31,"Period 2"
14,META,2023,134902.00,15.69,46751.00,34.66,39098.00,28.98,229623.00,17.03,76455.00,33.30,"Period 2"
15,META,2024,164501.00,21.94,69380.00,42.18,62360.00,37.91,276054.00,22.59,93417.00,33.84,"Period 2"
16,META,2025,200966.00,22.17,83276.00,41.44,60458.00,30.08,366021.00,16.52,148778.00,40.65,"Period 2"
17,TESLA,2018,21461.00,NULL,-388.00,-1.81,-1063.00,-4.95,29740.00,-3.57,23427.00,78.77,"Period 1"
18,TESLA,2019,24578.00,14.52,-69.00,-0.28,-775.00,-3.15,34309.00,-2.26,26199.00,76.36,"Period 1"
19,TESLA,2020,31536.00,28.31,1994.00,6.32,862.00,2.73,52148.00,1.65,28418.00,54.49,"Period 1"
20,TESLA,2021,53823.00,70.67,6523.00,12.12,5644.00,10.49,62131.00,9.08,30548.00,49.17,"Period 1"
21,TESLA,2022,81462.00,51.35,13656.00,16.76,12587.00,15.45,82338.00,15.29,36440.00,44.26,"Period 2"
22,TESLA,2023,96773.00,18.80,8891.00,9.19,14974.00,15.47,106618.00,14.04,43009.00,40.34,"Period 2"
23,TESLA,2024,97690.00,0.95,7076.00,7.24,7153.00,7.32,122070.00,5.86,48390.00,39.64,"Period 2"
24,TESLA,2025,94827.00,-2.93,4355.00,4.59,3855.00,4.07,137806.00,2.80,54941.00,39.87,"Period 2"
